Project;Trip;Longitude;Latitude;DateTime;Station;Bott Depth M;Parameter;Layer;Taxa;Stage;Size_class;abundance-AB;abundance-AB Unit
Atvērtie Monitoringa dati;Monit-20-01b;21.595300;57.566600;2020-05-26T14:29:00;OV;12.20;Zooplankton;0-10;Bivalvia unidentified larvae;;;2825.0000;ind/m3
Atvērtie Monitoringa dati;Monit-20-01b;22.410000;57.843300;2020-05-26T09:36:00;114A;31.80;Zooplankton;0-30;Bosmina sp;;0.3-0.4;266.6700;ind/m3
Atvērtie Monitoringa dati;Monit-20-01b;22.410000;57.843300;2020-05-26T09:36:00;114A;31.80;Zooplankton;0-30;Evadne nordmanni;;0.4-0.6;133.3300;ind/m3
Atvērtie Monitoringa dati;Monit-20-01b;22.410000;57.843300;2020-05-26T09:36:00;114A;31.80;Zooplankton;0-30;Evadne nordmanni;;0.3-0.4;33.3300;ind/m3
Atvērtie Monitoringa dati;Monit-20-01b;22.410000;57.843300;2020-05-26T09:36:00;114A;31.80;Zooplankton;0-30;Evadne nordmanni;;0.6-0.8;100.0000;ind/m3
Atvērtie Monitoringa dati;Monit-20-01b;22.410000;57.843300;2020-05-26T09:36:00;114A;31.80;Zooplankton;0-30;Evadne nordmanni;;0.8-1.0;100.0000;ind/m3
Atvērtie Monitoringa dati;Monit-20-01b;22.410000;57.843300;2020-05-26T09:36:00;114A;31.80;Zooplankton;0-30;Pleopis polyphemoides;;0.3-0.4;33.3300;ind/m3
Atvērtie Monitoringa dati;Monit-20-01b;22.410000;57.843300;2020-05-26T09:36:00;114A;31.80;Zooplankton;0-30;Acartia sp;M;;800.0000;ind/m3
Atvērtie Monitoringa dati;Monit-20-01b;22.410000;57.843300;2020-05-26T09:36:00;114A;31.80;Zooplankton;0-30;Acartia sp;F;;333.3300;ind/m3
Atvērtie Monitoringa dati;Monit-20-01b;22.410000;57.843300;2020-05-26T09:36:00;114A;31.80;Zooplankton;0-30;Acartia sp;I;;600.0000;ind/m3
Atvērtie Monitoringa dati;Monit-20-01b;22.410000;57.843300;2020-05-26T09:36:00;114A;31.80;Zooplankton;0-30;Acartia sp;II;;366.6700;ind/m3
Atvērtie Monitoringa dati;Monit-20-01b;22.410000;57.843300;2020-05-26T09:36:00;114A;31.80;Zooplankton;0-30;Acartia sp;III;;266.6700;ind/m3
Atvērtie Monitoringa dati;Monit-20-01b;22.410000;57.843300;2020-05-26T09:36:00;114A;31.80;Zooplankton;0-30;Acartia sp;IV;;566.6700;ind/m3
Atvērtie Monitoringa dati;Monit-20-01b;22.410000;57.843300;2020-05-26T09:36:00;114A;31.80;Zooplankton;0-30;Acartia sp;V;;633.3300;ind/m3
Atvērtie Monitoringa dati;Monit-20-01b;22.410000;57.843300;2020-05-26T09:36:00;114A;31.80;Zooplankton;0-30;Acartia sp;N;;5400.0000;ind/m3
Atvērtie Monitoringa dati;Monit-20-01b;22.410000;57.843300;2020-05-26T09:36:00;114A;31.80;Zooplankton;0-30;Centropages sp;I;;33.3300;ind/m3
Atvērtie Monitoringa dati;Monit-20-01b;22.410000;57.843300;2020-05-26T09:36:00;114A;31.80;Zooplankton;0-30;Eurytemora sp;I;;1700.0000;ind/m3
Atvērtie Monitoringa dati;Monit-20-01b;22.410000;57.843300;2020-05-26T09:36:00;114A;31.80;Zooplankton;0-30;Eurytemora sp;IV;;900.0000;ind/m3
Atvērtie Monitoringa dati;Monit-20-01b;22.410000;57.843300;2020-05-26T09:36:00;114A;31.80;Zooplankton;0-30;Eurytemora sp;V;;200.0000;ind/m3
Atvērtie Monitoringa dati;Monit-20-01b;22.410000;57.843300;2020-05-26T09:36:00;114A;31.80;Zooplankton;0-30;Eurytemora sp;N;;3400.0000;ind/m3
Atvērtie Monitoringa dati;Monit-20-01b;22.410000;57.843300;2020-05-26T09:36:00;114A;31.80;Zooplankton;0-30;Limnocalanus macrurus;F;;1.6700;ind/m3
Atvērtie Monitoringa dati;Monit-20-01b;22.410000;57.843300;2020-05-26T09:36:00;114A;31.80;Zooplankton;0-30;Limnocalanus macrurus;IV;;11.6700;ind/m3
Atvērtie Monitoringa dati;Monit-20-01b;22.410000;57.843300;2020-05-26T09:36:00;114A;31.80;Zooplankton;0-30;Temora longicornis;III;;33.3300;ind/m3
Atvērtie Monitoringa dati;Monit-20-01b;22.410000;57.843300;2020-05-26T09:36:00;114A;31.80;Zooplankton;0-30;Temora longicornis;IV;;33.3300;ind/m3
Atvērtie Monitoringa dati;Monit-20-01b;22.410000;57.843300;2020-05-26T09:36:00;114A;31.80;Zooplankton;0-30;Temora longicornis;V;;66.6700;ind/m3
Atvērtie Monitoringa dati;Monit-20-01b;22.410000;57.843300;2020-05-26T09:36:00;114A;31.80;Zooplankton;0-30;Temora longicornis;N;;1000.0000;ind/m3
Atvērtie Monitoringa dati;Monit-20-01b;22.410000;57.843300;2020-05-26T09:36:00;114A;31.80;Zooplankton;0-30;Synchaeta baltica;;;50133.3300;ind/m3
Atvērtie Monitoringa dati;Monit-20-01b;22.410000;57.843300;2020-05-26T09:36:00;114A;31.80;Zooplankton;0-30;Synchaeta fennica;;;166.6700;ind/m3
Atvērtie Monitoringa dati;Monit-20-01b;22.410000;57.843300;2020-05-26T09:36:00;114A;31.80;Zooplankton;0-30;Synchaeta monopus;;;10000.0000;ind/m3
Atvērtie Monitoringa dati;Monit-20-01b;22.410000;57.843300;2020-05-26T09:36:00;114A;31.80;Zooplankton;0-30;Bivalvia unidentified larvae;;;3833.3300;ind/m3
Atvērtie Monitoringa dati;Monit-20-01b;22.410000;57.843300;2020-05-26T09:36:00;114A;31.80;Zooplankton;0-30;Polychaeta unidentified larvae;;;100.0000;ind/m3
Atvērtie Monitoringa dati;Monit-20-01b;22.410000;57.843300;2020-05-26T09:36:00;114A;31.80;Zooplankton;0-30;Harpacticoida unidentified;cop;;33.3300;ind/m3
Atvērtie Monitoringa dati;Monit-20-01b;22.410000;57.843300;2020-05-26T09:36:00;114A;31.80;Zooplankton;0-30;Eurytemora sp;II;;1700.0000;ind/m3
Atvērtie Monitoringa dati;Monit-20-01b;22.410000;57.843300;2020-05-26T09:36:00;114A;31.80;Zooplankton;0-30;Limnocalanus macrurus;III;;1.6700;ind/m3
Atvērtie Monitoringa dati;Monit-20-01b;22.410000;57.843300;2020-05-26T09:36:00;114A;31.80;Zooplankton;0-30;Keratella quadrata;;;76.6700;ind/m3
Atvērtie Monitoringa dati;Monit-20-01b;22.410000;57.843300;2020-05-26T09:36:00;114A;31.80;Zooplankton;0-30;Keratella cruciformis;;;100.0000;ind/m3
Atvērtie Monitoringa dati;Monit-20-01b;22.410000;57.843300;2020-05-26T09:36:00;114A;31.80;Zooplankton;0-30;Keratella cochlearis;;;33.3300;ind/m3
LVAF D4 [2021-2022];2021Mesodinium_04/D4_02;23.983280;57.100000;2021-04-29T12:30:00;101A;21.70;Phytoplankton;0-10;Dinophysis acuminata;;4;100.0000;unit/L
LVAF D4 [2021-2022];2021Mesodinium_04/D4_02;23.983280;57.100000;2021-04-29T12:30:00;101A;21.70;Phytoplankton;0-10;Ebria tripartita;;2;400.0000;unit/L
LVAF D4 [2021-2022];2021Mesodinium_04/D4_02;23.983280;57.100000;2021-04-29T12:30:00;101A;21.70;Phytoplankton;0-10;Euglenales;;6;2800.0000;unit/L
LVAF D4 [2021-2022];2021Mesodinium_04/D4_02;23.983280;57.100000;2021-04-29T12:30:00;101A;21.70;Phytoplankton;0-10;Eutreptiella;;2;76979.0000;unit/L
LVAF D4 [2021-2022];2021Mesodinium_04/D4_02;23.983280;57.100000;2021-04-29T12:30:00;101A;21.70;Phytoplankton;0-10;Flagellates;;9;398907.0000;unit/L
LVAF D4 [2021-2022];2021Mesodinium_04/D4_02;23.983280;57.100000;2021-04-29T12:30:00;101A;21.70;Phytoplankton;0-10;Centrales;;1;28269.0000;unit/L
LVAF D4 [2021-2022];2021Mesodinium_04/D4_02;23.983280;57.100000;2021-04-29T12:30:00;101A;21.70;Phytoplankton;0-10;Chaetoceros danicus;;5;200.0000;unit/L
LVAF D4 [2021-2022];2021Mesodinium_04/D4_02;23.983280;57.100000;2021-04-29T12:30:00;101A;21.70;Phytoplankton;0-10;Chaetoceros subtilis;;7;300.0000;unit/L
LVAF D4 [2021-2022];2021Mesodinium_04/D4_02;23.983280;57.100000;2021-04-29T12:30:00;101A;21.70;Phytoplankton;0-10;Chaetoceros wighamii;;16;29800.0000;unit/L
LVAF D4 [2021-2022];2021Mesodinium_04/D4_02;23.983280;57.100000;2021-04-29T12:30:00;101A;21.70;Phytoplankton;0-10;Choanoflagellatea;;1;345510.0000;unit/L
LVAF D4 [2021-2022];2021Mesodinium_04/D4_02;23.983280;57.100000;2021-04-29T12:30:00;101A;21.70;Phytoplankton;0-10;Chrysochromulina;;1;719289.0000;unit/L
LVAF D4 [2021-2022];2021Mesodinium_04/D4_02;23.983280;57.100000;2021-04-29T12:30:00;101A;21.70;Phytoplankton;0-10;Chrysochromulina;;2;571662.0000;unit/L
LVAF D4 [2021-2022];2021Mesodinium_04/D4_02;23.983280;57.100000;2021-04-29T12:30:00;101A;21.70;Phytoplankton;0-10;Chaetoceros wighamii;;2;11400.0000;unit/L
LVAF D4 [2021-2022];2021Mesodinium_04/D4_02;23.983280;57.100000;2021-04-29T12:30:00;101A;21.70;Phytoplankton;0-10;Chaetoceros wighamii;;6;2500.0000;unit/L
LVAF D4 [2021-2022];2021Mesodinium_04/D4_02;23.983280;57.100000;2021-04-29T12:30:00;101A;21.70;Phytoplankton;0-10;Chaetoceros wighamii;;13;66810.0000;unit/L
LVAF D4 [2021-2022];2021Mesodinium_04/D4_02;23.983280;57.100000;2021-04-29T12:30:00;101A;21.70;Phytoplankton;0-10;Chrysochromulina;;4;138204.0000;unit/L
LVAF D4 [2021-2022];2021Mesodinium_04/D4_02;23.983280;57.100000;2021-04-29T12:30:00;101A;21.70;Phytoplankton;0-10;Desmodesmus armatus;;5;800.0000;unit/L
LVAF D4 [2021-2022];2021Mesodinium_04/D4_02;23.983280;57.100000;2021-04-29T12:30:00;101A;21.70;Phytoplankton;0-10;Desmodesmus communis;;1;500.0000;unit/L
LVAF D4 [2021-2022];2021Mesodinium_04/D4_02;23.983280;57.100000;2021-04-29T12:30:00;101A;21.70;Phytoplankton;0-10;Dinophysis acuminata;;3;200.0000;unit/L
LVAF D4 [2021-2022];2021Mesodinium_04/D4_02;23.983280;57.100000;2021-04-29T12:30:00;101A;21.70;Phytoplankton;0-10;Chaetoceros wighamii;;20;11400.0000;unit/L
LVAF D4 [2021-2022];2021Mesodinium_04/D4_02;23.983280;57.100000;2021-04-29T12:30:00;101A;21.70;Phytoplankton;0-10;Cyanodictyon;;1;12000.0000;unit/L
LVAF D4 [2021-2022];2021D4_08;23.985500;57.102160;2021-06-22T09:47:00;101A;21.70;Phytoplankton;0-10;Aphanocapsa delicatissima;;1;15618750.0000;unit/L
LVAF D4 [2021-2022];2021D4_08;23.985500;57.102160;2021-06-22T09:47:00;101A;21.70;Phytoplankton;0-10;Aulacoseira;;3;10000.0000;unit/L
LVAF D4 [2021-2022];2021D4_08;23.985500;57.102160;2021-06-22T09:47:00;101A;21.70;Phytoplankton;0-10;Binuclearia lauterbornii;;2;17600.0000;unit/L
LVAF D4 [2021-2022];2021D4_08;23.985500;57.102160;2021-06-22T09:47:00;101A;21.70;Phytoplankton;0-10;Chaetoceros ceratosporus;;1;3571.0000;unit/L
LVAF D4 [2021-2022];2021D4_08;23.985500;57.102160;2021-06-22T09:47:00;101A;21.70;Phytoplankton;0-10;Aulacoseira granulata;;2;1500.0000;unit/L
LVAF D4 [2021-2022];2021D4_08;23.985500;57.102160;2021-06-22T09:47:00;101A;21.70;Phytoplankton;0-10;Centrales;;13;182121.0000;unit/L
LVAF D4 [2021-2022];2021D4_08;23.985500;57.102160;2021-06-22T09:47:00;101A;21.70;Phytoplankton;0-10;Centrales;;3;100.0000;unit/L
LVAF D4 [2021-2022];2021D4_08;23.985500;57.102160;2021-06-22T09:47:00;101A;21.70;Phytoplankton;0-10;Centrales;;1;17855.0000;unit/L
LVAF D4 [2021-2022];2021D4_08;23.985500;57.102160;2021-06-22T09:47:00;101A;21.70;Phytoplankton;0-10;Chaetoceros wighamii;;13;6300.0000;unit/L
LVAF D4 [2021-2022];2021D4_08;23.985500;57.102160;2021-06-22T09:47:00;101A;21.70;Phytoplankton;0-10;Amphidinium crassum;;1;100.0000;unit/L
LVAF D4 [2021-2022];2021D4_08;23.985500;57.102160;2021-06-22T09:47:00;101A;21.70;Phytoplankton;0-10;Aphanizomenon flosaquae;;1;69654.0000;unit/L
LVAF D4 [2021-2022];2021D4_08;23.985500;57.102160;2021-06-22T09:47:00;101A;21.70;Phytoplankton;0-10;Chaetoceros wighamii;;16;3000.0000;unit/L
LVAF D4 [2021-2022];2021D4_08;23.985500;57.102160;2021-06-22T09:47:00;101A;21.70;Phytoplankton;0-10;Chaetoceros wighamii;;20;4600.0000;unit/L
LVAF D4 [2021-2022];2021D4_08;23.985500;57.102160;2021-06-22T09:47:00;101A;21.70;Phytoplankton;0-10;Chlamydomonas;;3;600.0000;unit/L
LVAF D4 [2021-2022];2021D4_08;23.985500;57.102160;2021-06-22T09:47:00;101A;21.70;Phytoplankton;0-10;Chrysochromulina;;1;428520.0000;unit/L
LVAF D4 [2021-2022];2021D4_08;23.985500;57.102160;2021-06-22T09:47:00;101A;21.70;Phytoplankton;0-10;Chrysochromulina;;2;57136.0000;unit/L
LVAF D4 [2021-2022];2021D4_08;23.985500;57.102160;2021-06-22T09:47:00;101A;21.70;Phytoplankton;0-10;Chrysochromulina;;4;53565.0000;unit/L
LVAF D4 [2021-2022];2021D4_08;23.985500;57.102160;2021-06-22T09:47:00;101A;21.70;Phytoplankton;0-10;Crucigenia quadrata;;2;100.0000;unit/L
LVAF D4 [2021-2022];2021D4_08;23.985500;57.102160;2021-06-22T09:47:00;101A;21.70;Phytoplankton;0-10;Crucigenia tetrapedia;;1;100.0000;unit/L
LVAF D4 [2021-2022];2021D4_08;23.985500;57.102160;2021-06-22T09:47:00;101A;21.70;Phytoplankton;0-10;Chaetoceros wighamii;;2;3200.0000;unit/L
LVAF D4 [2021-2022];2021D4_08;23.985500;57.102160;2021-06-22T09:47:00;101A;21.70;Phytoplankton;0-10;Chaetoceros wighamii;;6;1900.0000;unit/L
LVAF D4 [2021-2022];2021D4_08;23.985500;57.102160;2021-06-22T09:47:00;101A;21.70;Phytoplankton;0-10;Cyclotella choctawhatcheeana;;1;7142.0000;unit/L
LVAF D4 [2021-2022];2021D4_08;23.985500;57.102160;2021-06-22T09:47:00;101A;21.70;Phytoplankton;0-10;Chlamydomonas;;4;49994.0000;unit/L
LVAF D4 [2021-2022];2021D4_08;23.985500;57.102160;2021-06-22T09:47:00;101A;21.70;Phytoplankton;0-10;Desmodesmus armatus;;1;4400.0000;unit/L
LVAF D4 [2021-2022];2021D4_08;23.985500;57.102160;2021-06-22T09:47:00;101A;21.70;Phytoplankton;0-10;Dinobryon;;3;200.0000;unit/L
LVAF D4 [2021-2022];2021D4_08;23.985500;57.102160;2021-06-22T09:47:00;101A;21.70;Phytoplankton;0-10;Eutreptiella;;1;700.0000;unit/L
LVAF D4 [2021-2022];2021D4_08;23.985500;57.102160;2021-06-22T09:47:00;101A;21.70;Phytoplankton;0-10;Tetraedron caudatum;;1;100.0000;unit/L
LVAF D4 [2021-2022];2021D4_08;23.985500;57.102160;2021-06-22T09:47:00;101A;21.70;Phytoplankton;0-10;Tetraselmis cordiformis;;1;300.0000;unit/L
LVAF D4 [2021-2022];2021D4_08;23.985500;57.102160;2021-06-22T09:47:00;101A;21.70;Phytoplankton;0-10;Woronichinia compacta;;1;588000.0000;unit/L
LVAF D4 [2021-2022];2021D4_08;23.985500;57.102160;2021-06-22T09:47:00;101A;21.70;Phytoplankton;0-10;Thalassiosira baltica;;1;200.0000;unit/L
LVAF D4 [2021-2022];2021D4_08;23.985500;57.102160;2021-06-22T09:47:00;101A;21.70;Phytoplankton;0-10;Thalassiosira baltica;;2;200.0000;unit/L
LVAF D4 [2021-2022];2021D4_08;23.985500;57.102160;2021-06-22T09:47:00;101A;21.70;Phytoplankton;0-10;Desmodesmus bicellularis;;1;3571.0000;unit/L
LVAF D4 [2021-2022];2021D4_08;23.985500;57.102160;2021-06-22T09:47:00;101A;21.70;Phytoplankton;0-10;Desmodesmus opoliensis;;1;200.0000;unit/L
LVAF D4 [2021-2022];2021D4_08;23.985500;57.102160;2021-06-22T09:47:00;101A;21.70;Phytoplankton;0-10;Diaphanoeca;;2;3571.0000;unit/L
LVAF D4 [2021-2022];2021D4_08;23.985500;57.102160;2021-06-22T09:47:00;101A;21.70;Phytoplankton;0-10;Diatoma tenuis;;6;1700.0000;unit/L
LVAF D4 [2021-2022];2021D4_08;23.985500;57.102160;2021-06-22T09:47:00;101A;21.70;Phytoplankton;0-10;Dictyosphaerium ehrenbergianum;;1;103559.0000;unit/L
LVAF D4 [2021-2022];2021D4_08;23.985500;57.102160;2021-06-22T09:47:00;101A;21.70;Phytoplankton;0-10;Dinophysis acuminata;;4;500.0000;unit/L
LVAF D4 [2021-2022];2021D4_08;23.985500;57.102160;2021-06-22T09:47:00;101A;21.70;Phytoplankton;0-10;Dinophysis acuminata;;5;400.0000;unit/L
LVAF D4 [2021-2022];2021D4_08;23.985500;57.102160;2021-06-22T09:47:00;101A;21.70;Phytoplankton;0-10;Diploneis didyma;;1;100.0000;unit/L
LVAF D4 [2021-2022];2021D4_08;23.985500;57.102160;2021-06-22T09:47:00;101A;21.70;Phytoplankton;0-10;Dolichospermum planctonicum;;1;100.0000;unit/L
LVAF D4 [2021-2022];2021D4_08;23.985500;57.102160;2021-06-22T09:47:00;101A;21.70;Phytoplankton;0-10;Hemiselmis virescens;;1;221402.0000;unit/L
LVAF D4 [2021-2022];2021D4_08;23.985500;57.102160;2021-06-22T09:47:00;101A;21.70;Phytoplankton;0-10;Heterocapsa rotundata;;1;42852.0000;unit/L
LVAF D4 [2021-2022];2021D4_08;23.985500;57.102160;2021-06-22T09:47:00;101A;21.70;Phytoplankton;0-10;Katablepharis ovalis;;1;107130.0000;unit/L
LVAF D4 [2021-2022];2021D4_08;23.985500;57.102160;2021-06-22T09:47:00;101A;21.70;Phytoplankton;0-10;Katablepharis remigera;;2;800.0000;unit/L
LVAF D4 [2021-2022];2021D4_08;23.985500;57.102160;2021-06-22T09:47:00;101A;21.70;Phytoplankton;0-10;Katablepharis remigera;;3;600.0000;unit/L
LVAF D4 [2021-2022];2021D4_08;23.985500;57.102160;2021-06-22T09:47:00;101A;21.70;Phytoplankton;0-10;Koliella longiseta;;3;100.0000;unit/L
LVAF D4 [2021-2022];2021D4_08;23.985500;57.102160;2021-06-22T09:47:00;101A;21.70;Phytoplankton;0-10;Melosira varians;;2;3000.0000;unit/L
LVAF D4 [2021-2022];2021D4_08;23.985500;57.102160;2021-06-22T09:47:00;101A;21.70;Phytoplankton;0-10;Micractinium pusillum;;2;1500.0000;unit/L
LVAF D4 [2021-2022];2021D4_08;23.985500;57.102160;2021-06-22T09:47:00;101A;21.70;Phytoplankton;0-10;Monoraphidium contortum;;1;192834.0000;unit/L
LVAF D4 [2021-2022];2021D4_08;23.985500;57.102160;2021-06-22T09:47:00;101A;21.70;Phytoplankton;0-10;Monoraphidium contortum;;5;1600.0000;unit/L
LVAF D4 [2021-2022];2021D4_08;23.985500;57.102160;2021-06-22T09:47:00;101A;21.70;Phytoplankton;0-10;Monoraphidium griffithii;;2;200.0000;unit/L
LVAF D4 [2021-2022];2021D4_08;23.985500;57.102160;2021-06-22T09:47:00;101A;21.70;Phytoplankton;0-10;Monoraphidium komarkovae;;4;100.0000;unit/L
LVAF D4 [2021-2022];2021D4_08;23.985500;57.102160;2021-06-22T09:47:00;101A;21.70;Phytoplankton;0-10;Oblea rotunda;;1;500.0000;unit/L
LVAF D4 [2021-2022];2021D4_08;23.985500;57.102160;2021-06-22T09:47:00;101A;21.70;Phytoplankton;0-10;Oocystis;;2;12400.0000;unit/L
LVAF D4 [2021-2022];2021D4_08;23.985500;57.102160;2021-06-22T09:47:00;101A;21.70;Phytoplankton;0-10;Oocystis;;3;13400.0000;unit/L
LVAF D4 [2021-2022];2021D4_08;23.985500;57.102160;2021-06-22T09:47:00;101A;21.70;Phytoplankton;0-10;Oocystis;;4;2500.0000;unit/L
LVAF D4 [2021-2022];2021D4_08;23.985500;57.102160;2021-06-22T09:47:00;101A;21.70;Phytoplankton;0-10;Plagioselmis prolonga;;1;796333.0000;unit/L
LVAF D4 [2021-2022];2021D4_08;23.985500;57.102160;2021-06-22T09:47:00;101A;21.70;Phytoplankton;0-10;Pseudanabaena limnetica;;2;200.0000;unit/L
